BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
art00,5,1.871467,66.044883,0.018423,123.60079,0.034478,2804.475524,0.085502,4.399503,0.182837,0.000669,0.212517,0.002958
art00,6,1.874708,66.128977,0.000346,123.972496,0.000648,3880.839161,0.012847,0.082719,0.182379,2.5E-05,0.211929,0.002975
art00,7,1.883835,66.6895,0.000143,125.632006,0.00027,3203.916084,0.01291,0.03444,0.177726,3E-06,0.208938,0.003259
art00,8,1.878515,66.582278,0.000345,125.075841,0.000647,3728.111888,0.004291,0.082611,0.178889,2E-06,0.210436,0.003133
art00,9,1.874927,65.927671,0.000333,123.609545,0.000625,3103.216783,0.004283,0.079784,0.180778,1E-06,0.212371,0.002969
astar06,1,0.843491,13.949034,11.344347,11.765879,9.56885,2474.381271,1251.996246,1219.358817,0.279189,0.247468,0.437918,0.000911
astar06,10,1.071416,13.81148,1.014422,14.79784,1.086868,21887.090301,119.347554,138.502951,0.096156,0.027064,0.311882,0.001164
astar06,11,1.084243,13.801292,0.53192,14.963952,0.57673,23437.056856,126.972036,73.493338,0.084623,0.012113,0.30462,0.001136
astar06,2,0.884503,14.131161,9.124288,12.499054,8.07046,4785.819398,898.402736,1028.486894,0.243289,0.203793,0.411342,0.00107
astar06,3,0.921715,13.960085,7.278697,12.867216,6.708882,7232.374582,818.181904,854.988159,0.208834,0.165704,0.387197,0.000993
astar06,4,0.962055,13.920737,5.621018,13.392515,5.407729,10295.384615,670.037083,689.165681,0.181868,0.133179,0.368449,0.001013
astar06,5,0.993211,13.900128,4.209565,13.805766,4.180988,12077.324415,504.254328,532.816406,0.157633,0.104097,0.351898,0.000985
astar06,6,1.020732,13.87701,3.05054,14.164706,3.113783,14530.033445,334.48931,396.808829,0.136527,0.078045,0.337574,0.001061
astar06,7,1.044023,13.894347,2.116261,14.506015,2.209425,16414.180602,278.432756,281.563868,0.118303,0.055011,0.325294,0.001082
astar06,8,1.059067,13.881531,1.494745,14.701471,1.583035,18370.033445,158.327864,201.733502,0.105736,0.03891,0.317462,0.001041
astar06,9,1.062142,13.843923,0.990239,14.70421,1.051774,19868.628763,131.108752,134.029985,0.09374,0.02479,0.309019,0.001158
bwaves06,1,2.26629,2.019768,1.965447,4.577382,4.454274,2075.719064,581.503237,566.622074,0.00229,0.002132,0.098969,0.000986
bwaves06,10,2.267414,2.020352,1.832069,4.580974,4.154059,18630.100334,542.633024,528.461909,0.002211,0.002056,0.098668,0.001113
bwaves06,11,2.26816,2.016671,1.818707,4.574133,4.125118,19875.050167,547.852015,524.783176,0.002137,0.001983,0.098498,0.001117
bwaves06,2,2.267403,2.015075,1.948377,4.568987,4.417756,4036.38796,587.987244,561.997864,0.002262,0.002101,0.098715,0.001073
bwaves06,3,2.266938,2.017815,1.936805,4.57426,4.390616,5898.060201,581.306717,558.553011,0.002258,0.002102,0.098798,0.001068
bwaves06,4,2.267379,2.020953,1.918349,4.582266,4.349625,8862.608696,571.959147,553.34349,0.002275,0.002112,0.09869,0.001085
bwaves06,5,2.268052,2.017001,1.908182,4.574664,4.327856,9780.602007,567.231237,550.570386,0.00219,0.002034,0.09853,0.001054
bwaves06,6,2.267993,2.016951,1.896801,4.574431,4.301931,11755.719064,555.507065,547.272051,0.002216,0.00206,0.098563,0.00106
bwaves06,7,2.26802,2.015499,1.881658,4.571191,4.267638,13761.070234,564.19629,542.908982,0.002194,0.002039,0.09849,0.001056
bwaves06,8,2.267405,2.018907,1.86319,4.57768,4.224606,16619.397993,561.732573,537.435363,0.002501,0.002324,0.098757,0.00105
bwaves06,9,2.268349,2.019398,1.841231,4.5807,4.176555,16476.254181,550.886483,531.326049,0.002135,0.001983,0.098414,0.001088
bzip200,1,1.808599,2.238873,1.135203,4.049222,2.053126,2012.307692,333.816594,261.899169,0.07302,0.058412,0.247729,0.005923
bzip200,10,1.929632,2.230578,0.052159,4.304195,0.100647,16374.615385,18.399381,12.841637,0.017837,0.000114,0.201503,0.00482
bzip200,11,1.92804,2.227668,0.051554,4.295034,0.099398,17682.692308,17.887636,12.682269,0.017846,0.00011,0.201852,0.004807
bzip200,2,1.897226,2.231295,0.416357,4.233271,0.789924,4464.230769,117.980645,100.776996,0.032111,0.015421,0.213614,0.005004
bzip200,3,1.905233,2.227466,0.168919,4.243841,0.32183,11249.615385,49.85845,41.061539,0.029771,0.012629,0.211422,0.004767
bzip200,4,1.923219,2.229637,0.088008,4.288081,0.169259,8450.769231,26.899394,21.595254,0.020375,0.002747,0.203812,0.004772
bzip200,5,1.928664,2.23227,0.078345,4.305297,0.151101,13510.769231,31.13449,19.278925,0.018077,0.000373,0.201666,0.004843
