BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
cactusADM06,5,1.508733,5.351824,2.813868,8.074476,4.245377,12969.899666,553.84469,540.319148,0.033549,0.031349,0.191624,0.048915
cactusADM06,6,1.507763,5.353804,2.810824,8.072269,4.238057,14756.923077,554.590789,539.372941,0.033752,0.031618,0.191891,0.048908
cactusADM06,7,1.498507,5.345099,2.805276,8.00967,4.203727,18345.953177,553.883698,535.033755,0.034407,0.031968,0.192092,0.048568
cactusADM06,8,1.504642,5.35471,2.796953,8.056923,4.208415,20645.083612,549.430718,535.614605,0.032971,0.030429,0.190956,0.048812
cactusADM06,9,1.507841,5.348992,2.791033,8.06543,4.208434,22031.839465,550.866619,535.613957,0.033637,0.031442,0.191701,0.048894
calculix06,1,2.082967,0.727341,0.470643,1.515028,0.980334,2526.555184,141.190146,124.699503,0.005026,0.004107,0.086213,0.001007
calculix06,10,2.090247,0.738592,0.141356,1.543839,0.295468,22286.287625,49.358931,37.584658,0.002627,0.001473,0.08334,0.000886
calculix06,11,2.090399,0.739736,0.132215,1.546342,0.276383,23678.929766,48.68846,35.156809,0.002566,0.001404,0.083261,0.000882
calculix06,2,2.084841,0.735603,0.394725,1.533616,0.82294,4796.789298,118.450041,104.680498,0.00443,0.003389,0.08554,0.001002
calculix06,3,2.085767,0.743343,0.332637,1.550441,0.693804,6769.765886,100.982825,88.252899,0.004093,0.002913,0.08512,0.000981
calculix06,4,2.086709,0.742545,0.284179,1.549475,0.592998,9246.555184,85.066473,75.430948,0.003718,0.002559,0.084692,0.000965
calculix06,5,2.088511,0.734054,0.241964,1.53308,0.505344,11273.043478,75.996373,64.281337,0.003216,0.002154,0.084017,0.000947
calculix06,6,2.088667,0.727089,0.211318,1.518647,0.441373,14305.016722,69.423413,56.147729,0.003025,0.002043,0.083924,0.000938
calculix06,7,2.089547,0.734736,0.184197,1.535265,0.384888,15998.662207,65.170293,48.961096,0.002904,0.001793,0.083654,0.000919
calculix06,8,2.090105,0.732729,0.166233,1.531481,0.347444,18800.267559,58.447886,44.196648,0.002703,0.001673,0.083452,0.00091
calculix06,9,2.090336,0.730557,0.152301,1.527111,0.31836,20576.053512,53.575608,40.497078,0.002602,0.001566,0.083329,0.000903
dealII06,1,2.292478,2.376275,1.673854,5.447558,3.837274,2366.287625,514.468808,486.571336,0.024661,0.021174,0.150593,0.005093
dealII06,10,2.325229,2.378514,0.473785,5.530589,1.101659,21922.675585,154.543929,139.687314,0.015255,0.010835,0.140057,0.005102
dealII06,11,2.321844,2.374125,0.417993,5.512348,0.970514,22569.364548,142.155586,123.059706,0.014753,0.010306,0.139525,0.005088
